time,completions,q_len,lat_p50,lat_p95,lat_p99,rho_tau_est,idle_budget,dream_cpu_secs,dream_events,action,reward
47.0,25,0,0.337851882387175,0.8425373869267181,0.8894604018459066,0.4631265588624385,0.10649570392838044,2.9595451826315204,28,1,-0.010649570392838044
48.0,26,0,0.3485127135942983,0.8414530663738431,0.8889000632576476,0.462261942471731,0.10767526190935073,3.0663567688565934,29,0,-0.010767526190935073
49.0,27,0,0.3591735448014216,0.840368745820968,0.8883397246693885,0.4761827039478369,0.1084233839072602,3.175142686719956,30,0,-0.010842338390726021
50.0,27,0,0.3591735448014216,0.840368745820968,0.8883397246693885,0.4652145176739173,0.10550297437462981,3.281693042154105,31,0,-0.010550297437462983
51.0,27,0,0.3591735448014216,0.840368745820968,0.8883397246693885,0.4470169735492649,0.10754356340327514,3.3894851957900056,32,3,-0.010754356340327516
52.0,27,1,0.3591735448014216,0.840368745820968,0.8883397246693885,0.4755180641545368,0.10479538785346594,3.3894851957900056,32,0,-0.010479538785346595
53.0,28,2,0.3764159809159781,0.839284425268093,0.8877793860811295,0.4714900078302862,0.10639018687435153,3.3894851957900056,32,0,-0.010639018687435154
54.0,29,1,0.3936584170305346,0.8382001047152179,0.8872190474928704,0.4729713901206754,0.10411163755767838,3.3894851957900056,32,0,-0.010411163755767838
55.0,31,0,0.3936584170305346,0.8360314636094678,0.8860983703163523,0.465530569165014,0.10807942639306052,3.4449152931557956,33,0,-0.010807942639306053
56.0,32,1,0.3986552176379746,0.8515481071154691,0.8887575112235327,0.4687216080410339,0.10751996588737947,3.4449152931557956,33,0,-0.010751996588737947
57.0,34,0,0.3986552176379746,0.8505095653427468,0.8878445424015591,0.4480874052944998,0.10763579329074985,3.551320529733017,34,2,-0.010763579329074985
58.0,35,0,0.3936584170305346,0.8499902944563855,0.8873880579905721,0.4642911698681083,0.10571001815941901,3.658827832041653,35,0,-0.0105710018159419
59.0,35,0,0.3936584170305346,0.8499902944563855,0.8873880579905721,0.4751207879159889,0.10830236714503041,3.7657655981122162,36,1,-0.010830236714503042
